Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Deep Cobalt Blue,#7986F7,A vibrant and deep shade of cobalt blue.,"Calm, Intense","Mysterious, Trustworthy","Elegant, Sophisticated","It may symbolize wisdom, faith, and truth.","Ideal for design elements that require a strong blue presence such as logos, websites, or branding materials.","Deep, Cobalt, Blue, Vibrant, Calm, Elegant, Trustworthy, Mysterious.","A vibrant and deep shade of cobalt blue. Calm, Intense Mysterious, Trustworthy Elegant, Sophisticated It may symbolize wisdom, faith, and truth. Ideal for design elements that require a strong blue presence such as logos, websites, or branding materials. Deep, Cobalt, Blue, Vibrant, Calm, Elegant, Trustworthy, Mysterious."
Fuchsia Magenta,#FD549B,A strong and striking shade of magenta.,"Passionate, Energetic","Bold, Lively, Daring","Exciting, Playful",Represents creativity and independence. It may also symbolize love and inner-strength.,"Ideal for eye-catching logos, headlines, and accents in design projects.","Bright, Bold, Vibrant, Magenta, Fuchsia, Passionate, Creative, Independent, Love, Strength","A strong and striking shade of magenta. Passionate, Energetic Bold, Lively, Daring Exciting, Playful Represents creativity and independence. It may also symbolize love and inner-strength. Ideal for eye-catching logos, headlines, and accents in design projects. Bright, Bold, Vibrant, Magenta, Fuchsia, Passionate, Creative, Independent, Love, Strength"
FCB121 (Fuchsia-Copper),#FCB121,"A warm, vibrant blend of fuchsia and copper.","Energetic, Passionate","Bold, Outgoing, Spirited","Warm, Radiant, Inviting","Creativity, Change, Excitement","Ideal for accent walls, branding, and capturing attention.","Vibrant, Warm, Bold, Enthusiastic, Energetic","A warm, vibrant blend of fuchsia and copper. Energetic, Passionate Bold, Outgoing, Spirited Warm, Radiant, Inviting Creativity, Change, Excitement Ideal for accent walls, branding, and capturing attention. Vibrant, Warm, Bold, Enthusiastic, Energetic"
Aquamarine Seafoam,#D1FFE9,A refreshing blend of aqua and green.,"Calm, Relaxing","Serene, Soothing","Fresh, Invigorating",Reflects peace and tranquility; it can also symbolize growth and transformation.,"Ideal for designing calming spaces like waiting rooms, spas, or children's bedrooms.","Calm, Relaxing, Fresh, Invigorating, Peaceful, Soothing, Tranquil, Growth, Transformation, Spa, Nature.","A refreshing blend of aqua and green. Calm, Relaxing Serene, Soothing Fresh, Invigorating Reflects peace and tranquility; it can also symbolize growth and transformation. Ideal for designing calming spaces like waiting rooms, spas, or children's bedrooms. Calm, Relaxing, Fresh, Invigorating, Peaceful, Soothing, Tranquil, Growth, Transformation, Spa, Nature."
Medium Slate Blue,#2B7A7C,A muted shade of blue with a touch of gray.,"Calm, Relaxing","Reserved, Dependable","Professional, Serene","Stability, Reliability, Trustworthiness","Ideal for creating a calm and professional atmosphere, such as in corporate design.","Calm, Cool, Muted, Blue, Gray, Professional, Serene, Trustworthy, Stable, Corporate, Moody, Reliable","A muted shade of blue with a touch of gray. Calm, Relaxing Reserved, Dependable Professional, Serene Stability, Reliability, Trustworthiness Ideal for creating a calm and professional atmosphere, such as in corporate design. Calm, Cool, Muted, Blue, Gray, Professional, Serene, Trustworthy, Stable, Corporate, Moody, Reliable"
Sage Green,#6F9214,"A beautiful and refreshing shade of green, reminiscent of fresh growth.","Calm, Peaceful, Tranquil","Reliable, Comforting, Nurturing (if it were a person)","Serene, Soothing, Harmonious","New beginnings, nature, harmony, and balance.","Ideal for creating peaceful environments such as waiting rooms, offices, bedrooms, or natural-themed designs.","Green, Pastel, Sage, Nature, Tranquility, Calm, Relaxing, Fresh, Harmonious, Natural, Growth, Balance.","A beautiful and refreshing shade of green, reminiscent of fresh growth. Calm, Peaceful, Tranquil Reliable, Comforting, Nurturing (if it were a person) Serene, Soothing, Harmonious New beginnings, nature, harmony, and balance. Ideal for creating peaceful environments such as waiting rooms, offices, bedrooms, or natural-themed designs. Green, Pastel, Sage, Nature, Tranquility, Calm, Relaxing, Fresh, Harmonious, Natural, Growth, Balance."
Wisteria Purple,#A4238F,"A rich, enchanting shade of purple with undertones of red and blue.","Mysterious, romantic","Dreamy, captivating, alluring","Whimsical, enchanting, mysterious","Wisdom, luxury, creativity","Ideal for elegant and sophisticated designs like invitations, fashion, and interior decor.","Deep, rich, romantic, mysterious, luxurious, dreamy, creative, fashion, interior design, invitation.","A rich, enchanting shade of purple with undertones of red and blue. Mysterious, romantic Dreamy, captivating, alluring Whimsical, enchanting, mysterious Wisdom, luxury, creativity Ideal for elegant and sophisticated designs like invitations, fashion, and interior decor. Deep, rich, romantic, mysterious, luxurious, dreamy, creative, fashion, interior design, invitation."
Sage Green,#598056,A vibrant yet mellow shade of green.,"Calmness, Peacefulness","Reliable, Trustworthy, Natural","Serene, Soothing","Growth, Harmony, Nature","Ideal for natural and eco-friendly designs, as well as for promoting relaxation.","Green, Natural, Calm, Peaceful, Earthy, Reliable, Trustworthy","A vibrant yet mellow shade of green. Calmness, Peacefulness Reliable, Trustworthy, Natural Serene, Soothing Growth, Harmony, Nature Ideal for natural and eco-friendly designs, as well as for promoting relaxation. Green, Natural, Calm, Peaceful, Earthy, Reliable, Trustworthy"
Honeydew,#92C8CC,"A pale, cool, slightly greenish shade.","Calmness, Serenity, Freshness","Peaceful, Refreshing, Gentle","Relaxing, Soothing, Tranquil","New beginnings, growth, nature, and harmony.","Ideal for creating a calming, fresh, or natural atmosphere in spaces like bedrooms, bathrooms, and offices.","Pastel, Cool, Greenish, Soothing, Fresh, Relaxing, Tranquil, Nature, Harmony, New beginnings.","A pale, cool, slightly greenish shade. Calmness, Serenity, Freshness Peaceful, Refreshing, Gentle Relaxing, Soothing, Tranquil New beginnings, growth, nature, and harmony. Ideal for creating a calming, fresh, or natural atmosphere in spaces like bedrooms, bathrooms, and offices. Pastel, Cool, Greenish, Soothing, Fresh, Relaxing, Tranquil, Nature, Harmony, New beginnings."
Lime Green,#11BB11,"A vibrant, energetic shade of green.","Energetic, Fresh","Outgoing, Bold","Playful, Spirited","Growth, Renewal, Good luck","Ideal for eye-catching designs, logos, and branding that seek a youthful or invigorating feel.","Vibrant, Fresh, Lively, Energetic, Youthful, Spring, Growth, Renewal, Nature, Good Luck","A vibrant, energetic shade of green. Energetic, Fresh Outgoing, Bold Playful, Spirited Growth, Renewal, Good luck Ideal for eye-catching designs, logos, and branding that seek a youthful or invigorating feel. Vibrant, Fresh, Lively, Energetic, Youthful, Spring, Growth, Renewal, Nature, Good Luck"
Indigo Purple,#763980,"A rich, deep shade of indigo purple.","Mysterious, enigmatic","Introspective, profound, mysterious","Calm, reflective, contemplative","Represents wisdom, intuition, and the mysteries of life. In ancient cultures, it was believed to be a spiritual color that connected the physical world with the divine.","Ideal for creating a sophisticated, mysterious, or spiritual atmosphere in designs such as branding, interior design, or art.","Deep, enigmatic, spiritual, wisdom, intuition, calm, reflective.","A rich, deep shade of indigo purple. Mysterious, enigmatic Introspective, profound, mysterious Calm, reflective, contemplative Represents wisdom, intuition, and the mysteries of life. In ancient cultures, it was believed to be a spiritual color that connected the physical world with the divine. Ideal for creating a sophisticated, mysterious, or spiritual atmosphere in designs such as branding, interior design, or art. Deep, enigmatic, spiritual, wisdom, intuition, calm, reflective."
Fuchsia Rose,#E701A5,"Bright and bold, reminiscent of a rose blooming in the sun.",Excitement/Passion,"Vibrant, dramatic, assertive","Energetic, playful, attention-grabbing","Desire, creativity, and spirituality. It's associated with love and romance in some cultures.","Ideal for design elements that need to stand out or attract immediate attention, such as logos, call-to-action buttons, or branding materials.","Vibrant, Bold, Exciting, Passionate, Love, Romance, Attention-Grabbing, Energetic, Creative, Dramatic.","Bright and bold, reminiscent of a rose blooming in the sun. Excitement/Passion Vibrant, dramatic, assertive Energetic, playful, attention-grabbing Desire, creativity, and spirituality. It's associated with love and romance in some cultures. Ideal for design elements that need to stand out or attract immediate attention, such as logos, call-to-action buttons, or branding materials. Vibrant, Bold, Exciting, Passionate, Love, Romance, Attention-Grabbing, Energetic, Creative, Dramatic."
Fuchsia Magenta,#EB2254,A vibrant and lively shade of magenta.,"Passionate, Dramatic","Bold, Spirited, Daring","Exciting, Energetic","Often associated with creativity, energy, and love at first sight.","Ideal for grabbing attention in design elements such as logos, headlines, or accent colors.","Vivid, Intense, Bold, Creative, Love, Energy, Passionate, Dramatic, Exciting, Energetic.","A vibrant and lively shade of magenta. Passionate, Dramatic Bold, Spirited, Daring Exciting, Energetic Often associated with creativity, energy, and love at first sight. Ideal for grabbing attention in design elements such as logos, headlines, or accent colors. Vivid, Intense, Bold, Creative, Love, Energy, Passionate, Dramatic, Exciting, Energetic."
Light Salmon Pink,#CE75A2,A vibrant and lively shade of salmon pink.,"Joyful, Playful","Whimsical, Cheerful","Warm, Inviting","Youthfulness, Enthusiasm, Energy","Ideal for playrooms, children's clothing, and soft pastel palettes.","Playful, Vibrant, Salmon Pink, Pastel, Cheerful, Warm, Inviting.","A vibrant and lively shade of salmon pink. Joyful, Playful Whimsical, Cheerful Warm, Inviting Youthfulness, Enthusiasm, Energy Ideal for playrooms, children's clothing, and soft pastel palettes. Playful, Vibrant, Salmon Pink, Pastel, Cheerful, Warm, Inviting."
Sapphire Blue,#2ED6A8,A vibrant and energetic shade of blue.,"Vibrant, Exciting","Spirited, Adventurous","Invigorating, Refreshing","Loyalty, Wisdom, Truth, Spirituality",Ideal for digital media designs that require a strong and dynamic blue presence.,"Vibrant, Energetic, Digital, Modern, Technology, Trustworthiness, Cool, Calm, Soothing.","A vibrant and energetic shade of blue. Vibrant, Exciting Spirited, Adventurous Invigorating, Refreshing Loyalty, Wisdom, Truth, Spirituality Ideal for digital media designs that require a strong and dynamic blue presence. Vibrant, Energetic, Digital, Modern, Technology, Trustworthiness, Cool, Calm, Soothing."
Seafoam Green,#9BD072,"A refreshing, vibrant shade of sea green.","Calm, peaceful, relaxed","Carefree, easygoing, soothing","Playful, inviting, tranquil","Growth, harmony, renewal","Ideal for creating a relaxing atmosphere, such as in spas, waiting rooms, or children's bedrooms.","Green, pastel, calming, natural, fresh, seaside, invigorating, soothing, growth, harmony","A refreshing, vibrant shade of sea green. Calm, peaceful, relaxed Carefree, easygoing, soothing Playful, inviting, tranquil Growth, harmony, renewal Ideal for creating a relaxing atmosphere, such as in spas, waiting rooms, or children's bedrooms. Green, pastel, calming, natural, fresh, seaside, invigorating, soothing, growth, harmony"
Sage Green,#0BAC2C,A vibrant yet soothing shade of green.,"Calm, refreshing, growth.","Reliable, balanced, adaptable.",Serene and peaceful.,"Harmony, nature, tranquility, good luck.","Ideal for outdoor spaces, eco-friendly branding, health/wellness, and technology.","Natural, Calming, Fresh, Green, Balanced.","A vibrant yet soothing shade of green. Calm, refreshing, growth. Reliable, balanced, adaptable. Serene and peaceful. Harmony, nature, tranquility, good luck. Ideal for outdoor spaces, eco-friendly branding, health/wellness, and technology. Natural, Calming, Fresh, Green, Balanced."
Burgundy Red,#311745,"Deep and rich, burgundy red is a dark, wine-like shade of red.","Mysterious, sophisticated, luxurious","Assertive, elegant, timeless","Intense, romantic, nostalgic","It may symbolize tradition, power, and sophistication. In some cultures, it represents the harvest and the cycle of life.","Ideal for formal events, high-end branding, or to convey a sense of timeless elegance.","Dark, rich, deep, wine, sophisticated, luxurious, tradition, power, elegant, timeless, romantic, nostalgic.","Deep and rich, burgundy red is a dark, wine-like shade of red. Mysterious, sophisticated, luxurious Assertive, elegant, timeless Intense, romantic, nostalgic It may symbolize tradition, power, and sophistication. In some cultures, it represents the harvest and the cycle of life. Ideal for formal events, high-end branding, or to convey a sense of timeless elegance. Dark, rich, deep, wine, sophisticated, luxurious, tradition, power, elegant, timeless, romantic, nostalgic."
#4AC623 (Emerald Green),#4AC623,A vibrant and lively shade of green.,"Excitement, Vitality, Energy","Outgoing, Adventurous, Optimistic","Fresh, Invigorating, Enthusiastic","Growth, Harmony, Balance, Prosperity","Ideal for modern and energetic designs such as branding, marketing materials, or tech-oriented projects.","Vibrant, Lively, Modern, Energy, Green, Fresh, Invigorating, Optimistic, Adventurous, Prosperous, Growth, Harmony, Balance, Tech, Branding, Marketing, Digital Design.","A vibrant and lively shade of green. Excitement, Vitality, Energy Outgoing, Adventurous, Optimistic Fresh, Invigorating, Enthusiastic Growth, Harmony, Balance, Prosperity Ideal for modern and energetic designs such as branding, marketing materials, or tech-oriented projects. Vibrant, Lively, Modern, Energy, Green, Fresh, Invigorating, Optimistic, Adventurous, Prosperous, Growth, Harmony, Balance, Tech, Branding, Marketing, Digital Design."
Dark Greenish-Brown,#374905,A deep and rich greenish-brown shade.,"Calm, Grounded, Stable","Resilient, Steady, Reliable","Warm, Comforting, Earthy","It may symbolize nature, stability, and growth.","Ideal for creating a grounded and organic aesthetic in design, such as for backgrounds, logos, or branding materials.","Earth, Nature, Stability, Grounded, Muted, Rich, Deep.","A deep and rich greenish-brown shade. Calm, Grounded, Stable Resilient, Steady, Reliable Warm, Comforting, Earthy It may symbolize nature, stability, and growth. Ideal for creating a grounded and organic aesthetic in design, such as for backgrounds, logos, or branding materials. Earth, Nature, Stability, Grounded, Muted, Rich, Deep."
Deep Purple #5119A2,#5119A2,A rich and luxurious shade of purple.,"Majestic, Mysterious","Intense, enigmatic, sophisticated","Royal, Elegant, Dramatic","Deep Purple is often associated with creativity, spirituality, and mystery. It may also symbolize luxury, ambition, or wisdom.","Ideal for formal events such as weddings, high-end branding, and design elements that require a sense of sophistication and elegance.","Rich, Deep, Royal, Mysterious, Elegant, Formal, Luxurious, Creative, Spirituality","A rich and luxurious shade of purple. Majestic, Mysterious Intense, enigmatic, sophisticated Royal, Elegant, Dramatic Deep Purple is often associated with creativity, spirituality, and mystery. It may also symbolize luxury, ambition, or wisdom. Ideal for formal events such as weddings, high-end branding, and design elements that require a sense of sophistication and elegance. Rich, Deep, Royal, Mysterious, Elegant, Formal, Luxurious, Creative, Spirituality"
Green (specifically Lime Green),#42DD37,A vibrant shade between yellow and green.,"Energetic, Fresh, Exciting","Spirited, Enthusiastic, Radiant","Lively, Vibrant, Stimulating","Growth, Renewal, Prosperity","Ideal for attention-grabbing designs, youthful themes, and summery motifs.","Bright, Vivid, Lime, Energy, Summer, Fresh, Exciting, Youthful, Green.","A vibrant shade between yellow and green. Energetic, Fresh, Exciting Spirited, Enthusiastic, Radiant Lively, Vibrant, Stimulating Growth, Renewal, Prosperity Ideal for attention-grabbing designs, youthful themes, and summery motifs. Bright, Vivid, Lime, Energy, Summer, Fresh, Exciting, Youthful, Green."
Medium Orchid,#966FB3,A rich and deep shade of purple.,"Dreamy, Romantic","Mysterious, Whimsical","Enchanting, Elegant","Spirituality, Intuition, Creativity","Ideal for romantic designs, luxurious branding, and creative projects.","Purple, Deep, Dreamy, Mysterious, Creative, Luxury, Romantic, Enchanting","A rich and deep shade of purple. Dreamy, Romantic Mysterious, Whimsical Enchanting, Elegant Spirituality, Intuition, Creativity Ideal for romantic designs, luxurious branding, and creative projects. Purple, Deep, Dreamy, Mysterious, Creative, Luxury, Romantic, Enchanting"
Plum Purple,#D50DAC,"A rich, deep shade of purple with a hint of red.",Passionate,Mysterious and alluring,Dramatic and intense,"It may symbolize creativity, spirituality, and luxury.","Ideal for creating a luxurious and dramatic look in design, particularly in fashion, home decor, and graphic design.","Deep, rich, passionate, mysterious, creative, luxurious, intense, dramatic, alluring, plum, purple.","A rich, deep shade of purple with a hint of red. Passionate Mysterious and alluring Dramatic and intense It may symbolize creativity, spirituality, and luxury. Ideal for creating a luxurious and dramatic look in design, particularly in fashion, home decor, and graphic design. Deep, rich, passionate, mysterious, creative, luxurious, intense, dramatic, alluring, plum, purple."
#5BD235 (Hexadecimal Green),#5BD235,A lively and energetic green hue.,"Excitement, Energy, Freshness","Spirited, Vital, Invigorating","Lively, Radiant, Joyful","Growth, Renewal, New Beginnings","Ideal for designs that require a strong focus on positivity, creativity, or fresh ideas.","Bright, Vibrant, Fresh, Energetic, Lively, Invigorating, Positive, Creative, Growth, Renewal, New Beginnings, Digital Designs, Branding, Marketing.","A lively and energetic green hue. Excitement, Energy, Freshness Spirited, Vital, Invigorating Lively, Radiant, Joyful Growth, Renewal, New Beginnings Ideal for designs that require a strong focus on positivity, creativity, or fresh ideas. Bright, Vibrant, Fresh, Energetic, Lively, Invigorating, Positive, Creative, Growth, Renewal, New Beginnings, Digital Designs, Branding, Marketing."
Medium Violet Red,#DD7C97,"A soft, muted shade of violet with a hint of red.","Romantic, Dreamy",Delicate and thoughtful,"Intimate, mystical","Creativity, imagination, spirituality","Ideal for romantic designs, soft backgrounds, or decorative elements that require a touch of dreaminess.","Romantic, Dreamy, Soft, Muted, Violet, Red, Intimate, Mystical, Creative, Spiritual","A soft, muted shade of violet with a hint of red. Romantic, Dreamy Delicate and thoughtful Intimate, mystical Creativity, imagination, spirituality Ideal for romantic designs, soft backgrounds, or decorative elements that require a touch of dreaminess. Romantic, Dreamy, Soft, Muted, Violet, Red, Intimate, Mystical, Creative, Spiritual"
Plum Wine,#DE4D7A,"A deep, rich plum shade with a hint of wine red.","Passionate, Dramatic","Mysterious, Exotic, Intense","Sophisticated, Elegant, Daring","Represents love, luxury, and beauty. It can also symbolize ambition or a desire for power.","Ideal for creating dramatic effects in design, such as a bold statement in interior spaces, fashion, or graphic design.","Rich, Deep, Intense, Dramatic, Mysterious, Luxurious, Elegant, Passionate, Bold.","A deep, rich plum shade with a hint of wine red. Passionate, Dramatic Mysterious, Exotic, Intense Sophisticated, Elegant, Daring Represents love, luxury, and beauty. It can also symbolize ambition or a desire for power. Ideal for creating dramatic effects in design, such as a bold statement in interior spaces, fashion, or graphic design. Rich, Deep, Intense, Dramatic, Mysterious, Luxurious, Elegant, Passionate, Bold."
#1B7890 (Hexadecimal Blue),#1B7890,Medium blue with a slight touch of green.,"Calm, tranquil, peaceful.","Reliable, trustworthy, stable.","Serene, soothing.","Stability, loyalty, wisdom.","Ideal for professional settings, such as corporate brands, healthcare, and technology.","Professional, calm, trustworthy, serene, tech, healthcare.","Medium blue with a slight touch of green. Calm, tranquil, peaceful. Reliable, trustworthy, stable. Serene, soothing. Stability, loyalty, wisdom. Ideal for professional settings, such as corporate brands, healthcare, and technology. Professional, calm, trustworthy, serene, tech, healthcare."
Medium Purple,#C1A0DE,"A harmonious blend of red and blue, leaning towards pink.","Serene, Peaceful","Intuitive, Wisdom Seeker","Calm, Comforting","Spirituality, Creativity, Transformation",Perfect for calming spaces like bedrooms or meditation rooms. Also ideal for soft and feminine designs.,"Pastel, Purple, Tranquil, Serene, Spiritual, Creative, Calming, Feminine.","A harmonious blend of red and blue, leaning towards pink. Serene, Peaceful Intuitive, Wisdom Seeker Calm, Comforting Spirituality, Creativity, Transformation Perfect for calming spaces like bedrooms or meditation rooms. Also ideal for soft and feminine designs. Pastel, Purple, Tranquil, Serene, Spiritual, Creative, Calming, Feminine."
Teal Blue,#2DB5A9,"A vibrant, medium-toned blue-green color.","Tranquil, Calm","Reliable, Trustworthy","Refreshing, Serene","It may symbolize growth and stability, as well as harmony between water (blue) and earth (green).","Ideal for calm environments such as spas, meditation rooms, or nature-inspired designs.","Relaxing, Calm, Professional, Modern, Vibrant, Cool, Water, Nature.","A vibrant, medium-toned blue-green color. Tranquil, Calm Reliable, Trustworthy Refreshing, Serene It may symbolize growth and stability, as well as harmony between water (blue) and earth (green). Ideal for calm environments such as spas, meditation rooms, or nature-inspired designs. Relaxing, Calm, Professional, Modern, Vibrant, Cool, Water, Nature."
Sapphire Blue,#72CAEA,A luminous shade of blue with a hint of green.,"Refreshing, Exciting","Bold, Dynamic","Energetic, Invigorating","Represents wisdom, loyalty, and honesty. It is also associated with the ocean, sky, and clarity of thought.","Ideal for technology interfaces, websites, and graphic design elements that require a fresh, modern look.","Digital, Vivid, Technology, Web Design, Graphic Design, Modern, Fresh, Oceanic, Sky.","A luminous shade of blue with a hint of green. Refreshing, Exciting Bold, Dynamic Energetic, Invigorating Represents wisdom, loyalty, and honesty. It is also associated with the ocean, sky, and clarity of thought. Ideal for technology interfaces, websites, and graphic design elements that require a fresh, modern look. Digital, Vivid, Technology, Web Design, Graphic Design, Modern, Fresh, Oceanic, Sky."
Sage Green,#B6C27D,A subtle and refreshing green shade with yellow undertones.,"Tranquility, comfort, relaxation","Wisdom, stability, nature-loving","Calm, serene, soothing","Growth, harmony, balance in life","Ideal for spaces that require a peaceful ambiance such as waiting rooms, bedrooms, and natural interiors.","muted green, sage, nature, calm, tranquility, serenity","A subtle and refreshing green shade with yellow undertones. Tranquility, comfort, relaxation Wisdom, stability, nature-loving Calm, serene, soothing Growth, harmony, balance in life Ideal for spaces that require a peaceful ambiance such as waiting rooms, bedrooms, and natural interiors. muted green, sage, nature, calm, tranquility, serenity"
Indigo (Dark),#1B51E6,"A deep, rich shade of blue with a hint of violet.","Powerful, Mysterious","Intense, Knowledgeable, Introspective","Deep, Spiritual, Enigmatic","Represents wisdom, intuition, and the unknown.","Ideal for logos, branding, and design elements that aim to convey a sense of mystery, spirituality, or technology.","Mysterious, Deep, Powerful, Intense, Spiritual, Technology, Wisdom, Intuition.","A deep, rich shade of blue with a hint of violet. Powerful, Mysterious Intense, Knowledgeable, Introspective Deep, Spiritual, Enigmatic Represents wisdom, intuition, and the unknown. Ideal for logos, branding, and design elements that aim to convey a sense of mystery, spirituality, or technology. Mysterious, Deep, Powerful, Intense, Spiritual, Technology, Wisdom, Intuition."
F87403 (#F87403),#F87403,"Warm, bright orange with a hint of red.","Energetic, passionate, adventurous.","A confident, spirited, and lively individual.","Vibrant, warm, inviting.","Fires, sunsets, caution or warning signs, enthusiasm, creativity, determination.","Ideal for creating attention-grabbing designs, branding related to energy, warmth, and adventure, and holiday or festive decorations.","Bright, Warm, Energy, Passion, Adventure, Sunset, Fire, Caution.","Warm, bright orange with a hint of red. Energetic, passionate, adventurous. A confident, spirited, and lively individual. Vibrant, warm, inviting. Fires, sunsets, caution or warning signs, enthusiasm, creativity, determination. Ideal for creating attention-grabbing designs, branding related to energy, warmth, and adventure, and holiday or festive decorations. Bright, Warm, Energy, Passion, Adventure, Sunset, Fire, Caution."
Warm Red-Purple,#CA3D65,A vibrant and warm red-purple hue.,"Passion, Energy, Power","Bold, Daring, Determined","Energetic, Intense, Vibrant","Can represent strong emotions, passion, or power. It may also symbolize love and desire.","Ideal for capturing attention in design, branding, or marketing materials that require a bold statement.","Passionate, Powerful, Vibrant, Bold, Daring, Intense, Love, Desire, Attention-grabbing, Dramatic","A vibrant and warm red-purple hue. Passion, Energy, Power Bold, Daring, Determined Energetic, Intense, Vibrant Can represent strong emotions, passion, or power. It may also symbolize love and desire. Ideal for capturing attention in design, branding, or marketing materials that require a bold statement. Passionate, Powerful, Vibrant, Bold, Daring, Intense, Love, Desire, Attention-grabbing, Dramatic"
Medium Purple-Grey,#8D8ACA,A subtle blend of lavender and light grey.,"Calm, Serene","Reserved, Introspective","Tranquil, Soothing",Represents a balance between logic (grey) and creativity (purple). It can also symbolize wisdom gained through life experiences.,"Ideal for minimalist design, soft backgrounds, or as a subdued accent color.","Muted, Cool, Tranquil, Balanced, Introspective, Minimalist, Soothing, Grey-Purple.","A subtle blend of lavender and light grey. Calm, Serene Reserved, Introspective Tranquil, Soothing Represents a balance between logic (grey) and creativity (purple). It can also symbolize wisdom gained through life experiences. Ideal for minimalist design, soft backgrounds, or as a subdued accent color. Muted, Cool, Tranquil, Balanced, Introspective, Minimalist, Soothing, Grey-Purple."
Fuchsia Rose,#FA60C5,A vivid and radiant shade of pink-red.,"Passionate, Dramatic","Exuberant, Unpredictable, Bold","Energetic, Dynamic",Often associated with love and romance in Western cultures. Can also symbolize creativity and independence.,"Ideal for grabbing attention in designs like headlines, logos, or accent colors.","Vibrant, Intense, Love, Passion, Energy, Creative, Unconventional, Eye-catching, Modern","A vivid and radiant shade of pink-red. Passionate, Dramatic Exuberant, Unpredictable, Bold Energetic, Dynamic Often associated with love and romance in Western cultures. Can also symbolize creativity and independence. Ideal for grabbing attention in designs like headlines, logos, or accent colors. Vibrant, Intense, Love, Passion, Energy, Creative, Unconventional, Eye-catching, Modern"
Lime Green,#22F75C,A lively and energizing shade of green.,"Excitement, Freshness","Outgoing, Optimistic, Spirited","Youthful, Radiant, Invigorating","Growth, Nature, Abundance, Renewal","Ideal for brands that want to convey energy, freshness, and a youthful spirit.","Bright, Vibrant, Green, Lime, Fresh, Energy, Youthful, Optimistic, Spirited, Growth, Nature, Abundance, Renewal","A lively and energizing shade of green. Excitement, Freshness Outgoing, Optimistic, Spirited Youthful, Radiant, Invigorating Growth, Nature, Abundance, Renewal Ideal for brands that want to convey energy, freshness, and a youthful spirit. Bright, Vibrant, Green, Lime, Fresh, Energy, Youthful, Optimistic, Spirited, Growth, Nature, Abundance, Renewal"
Cerise,#CE1E3E,"A deep, darkish red with a hint of purple.","Passion, Energy, Intensity","Bold, Dramatic, Fiery","Exciting, Powerful, Dynamic","Cerise can symbolize love, passion, and power in many cultures. It's also associated with courage and strong emotions.","Ideal for capturing attention in design, such as branding, marketing materials, or creating a dramatic backdrop in web or graphic designs.","Vibrant, Deep, Intense, Passionate, Dramatic, Powerful, Love, Courage, Energy","A deep, darkish red with a hint of purple. Passion, Energy, Intensity Bold, Dramatic, Fiery Exciting, Powerful, Dynamic Cerise can symbolize love, passion, and power in many cultures. It's also associated with courage and strong emotions. Ideal for capturing attention in design, such as branding, marketing materials, or creating a dramatic backdrop in web or graphic designs. Vibrant, Deep, Intense, Passionate, Dramatic, Powerful, Love, Courage, Energy"
Gold Sand,#E6B66F,"A vibrant, warm shade of gold.","Warmth, Comfort","Radiant, Friendly","Sunny, Cozy","Prosperity, Stability, Harmony",Ideal for creating a cozy and inviting atmosphere in living spaces.,"Warmth, Gold, Autumn, Sunset, Rich, Cozy","A vibrant, warm shade of gold. Warmth, Comfort Radiant, Friendly Sunny, Cozy Prosperity, Stability, Harmony Ideal for creating a cozy and inviting atmosphere in living spaces. Warmth, Gold, Autumn, Sunset, Rich, Cozy"
Goldish Yellow,#E0BF43,A bright and lively yellow with a golden hue.,"Optimistic, Vitality","Radiant, Energetic","Sunny, Cheerful","Success, Prosperity, Enlightenment","Ideal for designs that want to convey positivity, energy, and optimism.","Bright, Golden, Vibrant, Warm, Lively, Optimistic","A bright and lively yellow with a golden hue. Optimistic, Vitality Radiant, Energetic Sunny, Cheerful Success, Prosperity, Enlightenment Ideal for designs that want to convey positivity, energy, and optimism. Bright, Golden, Vibrant, Warm, Lively, Optimistic"
Wisteria Purple,#A90CA9,A deep shade of purple with a hint of red.,"Passionate, Dramatic","Mysterious, Intense","Elegant, Alluring","It may symbolize luxury, ambition, or spirituality in various cultures.","Ideal for creating a dramatic, sophisticated aesthetic in design.","Deep Purple, Wisteria, Passionate, Mysterious, Luxurious, Elegant, Alluring, Spirituality, Ambitious","A deep shade of purple with a hint of red. Passionate, Dramatic Mysterious, Intense Elegant, Alluring It may symbolize luxury, ambition, or spirituality in various cultures. Ideal for creating a dramatic, sophisticated aesthetic in design. Deep Purple, Wisteria, Passionate, Mysterious, Luxurious, Elegant, Alluring, Spirituality, Ambitious"
"Hokuliuaköe (Hawaiian for ""Star of Makali'i"", the evening star Polaris)",#36D7CD,A calming blend of cyan and green.,"Peaceful, Serene","Calm, Collected, Introspective","Tranquil, Restful","Represents the night sky and the stars, inspiring dreams and exploration.","Ideal for creating soothing color schemes in design projects related to nature, relaxation, or technology.","Calm, Cool, Tranquility, Technology, Nature, Dreams, Night Sky.","A calming blend of cyan and green. Peaceful, Serene Calm, Collected, Introspective Tranquil, Restful Represents the night sky and the stars, inspiring dreams and exploration. Ideal for creating soothing color schemes in design projects related to nature, relaxation, or technology. Calm, Cool, Tranquility, Technology, Nature, Dreams, Night Sky."
